step,char_pos,U,D,A,H,U_diff,D_diff,A_diff,H_driven_by,cumul_A,D_volatility
0,0,0.5,0.51,0.129,0.3782,0.5,0.51,0.129,D,0.129,0.0
1,1500,0.5,0.51,0.0909,0.3858,0.0,0.0,-0.0381,A,0.2199,0.0
2,3000,0.0,0.3026,0.0909,0.1029,-0.5,-0.2074,0.0,U,0.3108,0.097769
3,4500,0.1667,0.5346,0.1818,0.2442,0.1667,0.232,0.0909,D,0.4926,0.093896
4,6000,0.1562,0.8078,0.2444,0.3367,-0.0105,0.2732,0.0626,D,0.737,0.161034
5,7500,0.0,0.4171,0.0882,0.1492,-0.1562,-0.3907,-0.1562,D,0.8252,0.153218
6,9000,0.5,0.51,0.1389,0.3762,0.5,0.0929,0.0507,U,0.9641,0.141858
7,9300,0.5,0.51,0.1622,0.3716,0.0,0.0,0.0233,A,1.1263,0.1327
8,9600,0.5,0.51,0.1795,0.3681,0.0,0.0,0.0173,A,1.3058,0.125114
9,9900,0.5,0.51,0.1667,0.3707,0.0,0.0,-0.0128,A,1.4725,0.118696
10,10200,0.5,0.51,0.1667,0.3707,0.0,0.0,0.0,均衡,1.6392,0.113174
11,10500,0.5,0.51,0.25,0.354,0.0,0.0,0.0833,A,1.8892,0.108357
12,10800,0.5,0.51,0.2059,0.3628,0.0,0.0,-0.0441,A,2.0951,0.104107
13,11500,0.5,0.51,0.2188,0.3602,0.0,0.0,0.0129,A,2.3139,0.100321
14,13000,0.5,0.51,0.1379,0.3764,0.0,0.0,-0.0809,A,2.4518,0.09692
15,14100,0.1579,0.3653,0.1316,0.183,-0.3421,-0.1447,-0.0063,U,2.5834,0.100291
16,14400,0.2,0.4217,0.0682,0.235,0.0421,0.0564,-0.0634,A,2.6516,0.09913
17,14700,0.2059,0.4263,0.1087,0.2311,0.0059,0.0046,0.0405,A,2.7603,0.097711
18,15000,0.1944,0.5757,0.0889,0.2903,-0.0115,0.1494,-0.0198,D,2.8492,0.096854
19,15300,0.2222,0.6498,0.0909,0.3306,0.0278,0.0741,0.002,D,2.9401,0.100035
20,15600,0.2222,0.6728,0.0909,0.3398,0.0,0.023,0.0,D,3.031,0.103919
21,15900,0.2222,0.6715,0.0682,0.3438,0.0,-0.0013,-0.0227,A,3.0992,0.10673
22,16200,0.1875,0.6966,0.0789,0.3379,-0.0347,0.0251,0.0107,U,3.1781,0.110376
23,16500,0.75,0.4875,0.0606,0.4829,0.5625,-0.2091,-0.0183,U,3.2387,0.10836
24,16800,0.75,0.4875,0.0909,0.4768,0.0,0.0,0.0303,A,3.3296,0.106447
25,17100,0.25,1.0,0.125,0.475,-0.5,0.5125,0.0341,D,3.4546,0.138697
26,17400,0.0,0.3026,0.0625,0.1085,-0.25,-0.6974,-0.0625,D,3.5171,0.143497
27,17700,0.2,0.5842,0.0625,0.3012,0.2,0.2816,0.0,D,3.5796,0.141213
28,18000,0.1667,0.6483,0.0625,0.3135,-0.0333,0.0641,0.0,D,3.6421,0.140257
29,19500,0.0714,0.8781,0.0857,0.3627,-0.0953,0.2298,0.0232,D,3.7278,0.150659
30,21000,0.0,1.0,0.1667,0.3667,-0.0714,0.1219,0.081,D,3.8945,0.168078
31,22500,0.0,0.3155,0.1143,0.1033,0.0,-0.6845,-0.0524,D,4.0088,0.171067
32,24000,0.5,0.51,0.0938,0.3852,0.5,0.1945,-0.0205,U,4.1026,0.168656
33,25500,0.0,0.532,0.1111,0.1906,-0.5,0.022,0.0173,U,4.2137,0.166209
34,27000,0.5,0.51,0.1176,0.3805,0.5,-0.022,0.0065,U,4.3313,0.163995
35,28500,0.5,0.51,0.1765,0.3687,0.0,0.0,0.0589,A,4.5078,0.161867
36,30000,0.5,0.51,0.1143,0.3811,0.0,0.0,-0.0622,A,4.6221,0.159818
37,31500,0.5,0.51,0.1667,0.3707,0.0,0.0,0.0524,A,4.7888,0.157845
38,33000,0.5,0.4527,0.1212,0.3568,0.0,-0.0573,-0.0455,D,4.91,0.156581
39,34500,0.25,0.7423,0.0811,0.3807,-0.25,0.2896,-0.0401,D,4.9911,0.157545
40,36000,0.1667,0.6479,0.1053,0.3048,-0.0833,-0.0944,0.0242,D,5.0964,0.156295
41,37500,0.5,0.51,0.1143,0.3811,0.3333,-0.1379,0.009,U,5.2107,0.154579
42,39000,0.5,0.51,0.0571,0.3926,0.0,0.0,-0.0572,A,5.2678,0.152919
43,40500,0.5,0.51,0.0625,0.3915,0.0,0.0,0.0054,A,5.3303,0.15131
44,42000,0.5,0.51,0.1622,0.3716,0.0,0.0,0.0997,A,5.4925,0.14975
45,43500,0.5,0.51,0.1212,0.3798,0.0,0.0,-0.041,A,5.6137,0.148238
46,45000,0.5,0.51,0.0645,0.3911,0.0,0.0,-0.0567,A,5.6782,0.14677
47,46500,0.5,0.51,0.1429,0.3754,0.0,0.0,0.0784,A,5.8211,0.145344
48,48000,0.5,0.51,0.0909,0.3858,0.0,0.0,-0.052,A,5.912,0.143959
49,49500,0.5,0.51,0.0882,0.3864,0.0,0.0,-0.0027,均衡,6.0002,0.142612
50,51000,0.0,0.384,0.1515,0.1233,-0.5,-0.126,0.0633,U,6.1517,0.143013
51,52500,0.0,0.8134,0.0882,0.3077,0.0,0.4294,-0.0633,D,6.2399,0.146377
52,54000,0.0,0.7034,0.1176,0.2578,0.0,-0.11,0.0294,D,6.3575,0.146496
53,55500,0.3636,0.6276,0.1143,0.3736,0.3636,-0.0758,-0.0033,U,6.4718,0.145488
54,56200,0.3636,0.5079,0.0882,0.331,0.0,-0.1197,-0.0261,D,6.56,0.144289
55,56500,0.25,0.4634,0.0938,0.2666,-0.1136,-0.0445,0.0056,U,6.6538,0.143485
56,56800,0.0556,0.3593,0.0968,0.1466,-0.1944,-0.1041,0.003,U,6.7506,0.144436
57,57100,0.5,0.51,0.1212,0.3798,0.4444,0.1507,0.0244,U,6.8718,0.14327
58,57400,0.5,0.51,0.129,0.3782,0.0,0.0,0.0078,A,7.0008,0.142132
59,57700,0.5,0.51,0.129,0.3782,0.0,0.0,0.0,均衡,7.1298,0.141021
60,58000,0.5,0.51,0.1765,0.3687,0.0,0.0,0.0475,A,7.3063,0.139934
61,59500,0.4,0.5697,0.1944,0.349,-0.1,0.0597,0.0179,U,7.5007,0.138835
62,61000,0.5,0.6854,0.1081,0.4525,0.1,0.1157,-0.0863,D,7.6088,0.13883
63,62500,0.5,0.51,0.0333,0.3973,0.0,-0.1754,-0.0748,D,7.6421,0.137822
64,64000,0.5,0.51,0.0968,0.3846,0.0,0.0,0.0635,A,7.7389,0.136835
65,65500,0.5,0.51,0.0938,0.3852,0.0,0.0,-0.003,均衡,7.8327,0.135869
66,67000,0.5,0.51,0.0625,0.3915,0.0,0.0,-0.0313,A,7.8952,0.134923
67,68500,0.5,0.51,0.1,0.384,0.0,0.0,0.0375,A,7.9952,0.133996
68,70000,0.0,0.3031,0.1429,0.0927,-0.5,-0.2069,0.0429,U,8.1381,0.136132
69,71500,0.0,0.3031,0.1818,0.0849,0.0,0.0,0.0389,A,8.3199,0.13809
70,73000,0.5,0.51,0.1562,0.3728,0.5,0.2069,-0.0256,U,8.4761,0.137155
71,74500,0.5,0.51,0.125,0.379,0.0,0.0,-0.0312,A,8.6011,0.136238
72,76000,0.5,0.51,0.1765,0.3687,0.0,0.0,0.0515,A,8.7776,0.13534
73,77500,0.5,0.51,0.1765,0.3687,0.0,0.0,0.0,均衡,8.9541,0.134459
74,79000,0.5,0.51,0.129,0.3782,0.0,0.0,-0.0475,A,9.0831,0.133594
75,80500,0.5,0.51,0.0333,0.3973,0.0,0.0,-0.0957,A,9.1164,0.132747
76,82000,0.5,0.51,0.1875,0.3665,0.0,0.0,0.1542,A,9.3039,0.131915
77,83500,0.5,0.51,0.1724,0.3695,0.0,0.0,-0.0151,A,9.4763,0.131098
78,85000,0.5,0.51,0.129,0.3782,0.0,0.0,-0.0434,A,9.6053,0.130297
79,86500,0.5,0.51,0.125,0.379,0.0,0.0,-0.004,均衡,9.7303,0.12951
80,88000,0.5,0.51,0.1,0.384,0.0,0.0,-0.025,A,9.8303,0.128737
81,89500,0.5,0.51,0.0333,0.3973,0.0,0.0,-0.0667,A,9.8636,0.127978
82,91000,0.5,0.51,0.0645,0.3911,0.0,0.0,0.0312,A,9.9281,0.127232
83,92500,0.5,0.51,0.069,0.3902,0.0,0.0,0.0045,均衡,9.9971,0.126499
84,94000,0.5,0.51,0.1613,0.3717,0.0,0.0,0.0923,A,10.1584,0.125778
85,95500,0.5,0.51,0.0303,0.3979,0.0,0.0,-0.131,A,10.1887,0.12507
86,97000,0.5,0.51,0.0645,0.3911,0.0,0.0,0.0342,A,10.2532,0.124373
87,98500,0.5,0.51,0.0938,0.3852,0.0,0.0,0.0293,A,10.347,0.123688
88,100000,0.5,0.51,0.125,0.379,0.0,0.0,0.0312,A,10.472,0.123014
89,101500,0.5,0.51,0.125,0.379,0.0,0.0,0.0,均衡,10.597,0.122351
90,103000,0.5,0.51,0.0968,0.3846,0.0,0.0,-0.0282,A,10.6938,0.121698
91,104500,0.5,0.51,0.129,0.3782,0.0,0.0,0.0322,A,10.8228,0.121056
92,106000,0.5,0.51,0.1818,0.3676,0.0,0.0,0.0528,A,11.0046,0.120424
93,107500,0.5,0.51,0.1765,0.3687,0.0,0.0,-0.0053,A,11.1811,0.119802
94,109000,0.5,0.51,0.1212,0.3798,0.0,0.0,-0.0553,A,11.3023,0.119189
